Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
Department for International Development,https://www.crunchbase.com/organization/department-for-international-development-dfid,17,,"London, England, United Kingdom","DFID leads the UK's fight against global poverty, delivering UK aid around the world.",Government Office,,9,"41,477"
Oklahoma Seed Capital Fund,https://www.crunchbase.com/organization/oklahoma-seed-capital-fund,17,4,"Oklahoma City, Oklahoma, United States","Oklahoma Seed Capital Fund is a venture capital fund that provides concept, seed-stage, and startup equity investments.","Government Office, Micro VC",Seed,3,"41,472"
MCI Management Center Innsbruck,https://www.crunchbase.com/organization/mci-management-center-innsbruck,2,,"Innsbruck, Tirol, Austria","MCI Management Center Innsbruck is a school focusing on science, economics, and consulting.",University Program,,1,"41,456"
Agencia Nacional de Desarrollo,https://www.crunchbase.com/organization/agencia-nacional-de-desarrollo,4,,"Montevideo, NA - Uruguay, Uruguay",La Agencia Nacional de Desarrollo aporta capital semilla a los emprendimientos que demuestran potencial y valor agregado.,Government Office,Seed,1,"41,374"
Huzhou Municipal People's Government,https://www.crunchbase.com/organization/huzhou-municipal-people-s-government,1,,"Huzhou, Zhejiang, China",Huzhou Government is a state-owned municipal government portal.,Government Office,,1,"41,350"
State Of Wisconsin,https://www.crunchbase.com/organization/state-of-wisconsin,3,,"Madison, Wisconsin, United States","The State of Wisconsin is a U.S. state located in the north-central United States, in the Midwest and Great Lakes regions.",Government Office,,2,"41,140"
Department of Human Services,https://www.crunchbase.com/organization/department-of-human-services,1,,"Harrisburg, Pennsylvania, United States",Department of Human Services is a national or subnational umbrella agency that is responsible for providing public assistance programs.,Government Office,,1,"41,133"
University of Hull,https://www.crunchbase.com/organization/university-of-hull,1,,"Hull, Kingston upon Hull, City of, United Kingdom","The University of Hull is providing a cutting-edge educational experience for over 18,000 students a year.",University Program,,,"41,030"
National Center for Advancing Translational Sciences(NCATS),https://www.crunchbase.com/organization/national-center-for-advancing-translational-sciences-ncats,16,1,"Bethesda, Maryland, United States",National Center for Advancing Translational Sciences is address the steep costs and high failure rates related to drug development process.,Government Office,Venture,11,"40,964"
IIT Ropar Technology and Innovation Foundation,https://www.crunchbase.com/organization/iit-ropar-technology-and-innovation-foundation,1,,"Rupnagar, Punjab, India",IIT Ropar Technology and Innovation Foundation is a technology innovation Hub supported by DST-GOI under NM-ICPS to develop agriculture.,Government Office,,1,"40,960"
Shanghai International Group (SIG),https://www.crunchbase.com/organization/shanghai-international-group-sig,16,,"Shanghai, Shanghai, China",Shanghai International Group IS an investment arm of the Shanghai government.,Government Office,,5,"40,710"
Sarawak Digital Economy Corporation Berhad,https://www.crunchbase.com/organization/sarawak-digital-economy-corp,1,,"Kuching, Sarawak, Malaysia",Sarawak Digital Economy Corporation Berhad is the agency in charge of implementing Sarawak's digital economy initiatives.,Government Office,,1,"40,653"
NSW Health,https://www.crunchbase.com/organization/nsw-health,1,,"Sydney, New South Wales, Australia",NSW Health is the NSW Government’s Office for Health and Medical Research.,Government Office,,1,"40,622"
Government of Saskatchewan,https://www.crunchbase.com/organization/government-ofsaskatchewan,4,1,"Regina, Saskatchewan, Canada",Canadian provincial government of Saskatchewan,Government Office,,2,"40,561"
LUT University,https://www.crunchbase.com/organization/lappeenranta-university-of-technology,1,,"Lappeenranta, Southern Finland, Finland",LUT University is a public research university that specializes in academics and research in the fields of engineering and technology.,University Program,,,"40,550"
Commonwealth of Virginia,https://www.crunchbase.com/organization/governor-of-virginia,5,,"Richmond, Virginia, United States",The Governor of the Commonwealth of Virginia serves as the chief executive of the Commonwealth of Virginia for a four-year term.,Government Office,,2,"40,425"
Teralys Capital,https://www.crunchbase.com/organization/teralys-capital,4,3,"Montréal, Quebec, Canada","Teralys Capital is a fund of funds that offers private venture capital to life sciences, information technology and cleantech companies.","Fund Of Funds, Government Office",,,"40,408"
Kentucky Science and Technology Corporation (KSTC),https://www.crunchbase.com/organization/kentucky-science-and-technology-corporation-kstc,1,,"Lexington, Kentucky, United States","KSTC is a private, nonprofit corporation and makes investments through its investment arm, Keyhorse Capital","Accelerator, Corporate Venture Capital, Government Office, Micro VC, Syndicate, Venture Capital","Convertible Note, Early Stage Venture, Grant, Non Equity Assistance, Seed, Venture",,"40,242"
National Institute for Materials Science,https://www.crunchbase.com/organization/national-institute-for-materials-science,2,,"Tsukuba, Ibaraki, Japan","We are research institution specializing in materials research in metals, organic or inorganic materials.",Government Office,,,"40,190"
EASME - EU Executive Agency for SMEs,https://www.crunchbase.com/organization/easme,"3,677",232,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","EASME  is the European Union executive agency for SMEs in charge of Enterprise Europe Network, COSME, and other programs.",Government Office,,"1,098","40,161"
Innovation and Technology Venture Fund,https://www.crunchbase.com/organization/innovation-and-technology-venture-fund,23,,"Wan Chai, Hong Kong Island, Hong Kong",The HK$2 billion ITVF was set up by the Hong Kong Government with a view to creating a vibrant local innovation and technology eco-systems,"Government Office, Venture Capital",Early Stage Venture,1,"40,042"
University of York,https://www.crunchbase.com/organization/university-of-york,2,,"York, York, United Kingdom","University of York is a research-intensive plate glass university located in the city of York, England.",University Program,,2,"39,991"
Government of Nova Scotia,https://www.crunchbase.com/organization/government-of-nova-scotia,4,,"North West Arm, Nova Scotia, Canada","Government of Nova Scotia provides programs, services, and information.",Government Office,Grant,3,"39,976"
Serious Change,https://www.crunchbase.com/organization/serious-change,26,7,"London, England, United Kingdom",Serious Change is here to get a secure and sustainable energy system for Britain. Using current research we aim to show the country the,Government Office,,5,"39,898"
Standard Chartered Bank Kenya,https://www.crunchbase.com/organization/standard-chartered-bank-kenya,7,,"Nairobi, Nairobi Area, Kenya",Standard Chartered Bank is an international banking group.,Government Office,,5,"39,833"
The Government Offices of Sweden,https://www.crunchbase.com/organization/the-government-offices-of-sweden,3,,"Stockholm, Stockholms Lan, Sweden","The Government Offices of Sweden constitutes the Prime Minister’s Office, government ministries, and the Office for Administrative Affairs.",Government Office,,2,"39,743"
Pays de la Loire region,https://www.crunchbase.com/organization/pays-de-la-loire-region,6,1,"Nantes, Pays de la Loire, France","REGION DES PAYS DE LA LOIRE is located in NANTES, PAYS-DE-LA-LOIRE, France and is part of the Government Industry.",Government Office,,1,"39,737"
National Information Technology Development Agency,https://www.crunchbase.com/organization/national-information-technology-development-agency,1,,"Abuja, Federal Capital Territory, Nigeria",NITDA created to implement the Nigerian Information Technology Policy and co-ordinate general IT development in the country.,Government Office,Grant,,"39,729"
Perfect Apps™,https://www.crunchbase.com/organization/perfect-apps,,,"Las Vegas, Nevada, United States","Development Company: Web3+, Digital, Mobile, Console, VR, AR, Holo, IRL, eCommerce, Adult, Government, FinTech, Banking, Social, & more","Angel Group, Corporate Venture Capital, Government Office, Investment Bank, Private Equity Firm, Syndicate, Venture Capital, Venture Debt","Crowdfunding, Debt, Early Stage Venture, Grant, Initial Coin Offering, Private Equity, Seed, Venture",,"39,574"
Penjana Kapital,https://www.crunchbase.com/organization/penjana-kapital,1,,"Kuala Lumpur, Kuala Lumpur, Malaysia",Penjana Kapital was established as part of the Malaysian government's ambition to hasten the creation of a future innovation economy.,Government Office,,,"39,480"
Ohio Department of Development,https://www.crunchbase.com/organization/ohio-department-of-development,7,,"Columbus, Ohio, United States",Innovation Ohio Loan Fund,Government Office,,5,"39,476"
TÜBİTAK,https://www.crunchbase.com/organization/tbtak,29,,"Ankara, Ankara, Turkey","Established in 1963, TÜBİTAK is an agency for management, funding, and conduct of research in Turkey.",Government Office,Early Stage Venture,9,"39,411"
Binus University,https://www.crunchbase.com/organization/binus-university,1,,"Jakarta, Jakarta Raya, Indonesia","The journey of Bina Nusantara University began on October 21, 1974.",University Program,,,"39,350"
