Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
Chios Global,https://www.crunchbase.com/organization/chios-global,"Consulting, Legal","Dallas, Texas, United States",Chios Global helps its clients solve legal disputes by connecting them with suitable attorneys.,"3,200,223","Dallas/Fort Worth Metroplex, Southern US",Closed,2013-03-01,day,,,,none,For Profit,http://www.chiosglobal.com,"What We Do We guide companies outside the United States through the intricate U.S. legal system by quickly analyzing their legal needs then identifying preeminent attorneys with the right skills to best address the specific issue.   We then typically stay on the matter as our client's personal advocate, interfacing with outside counsel and providing input on all strategic decisions and ensuring that legal spend is kept to a minimum. How We Do It  Our principals are all licensed attorneys with decades of experience in private practice at some of the largest U.S. business law firms and as senior in-house counsel at a prominent global investment manager. Each member of our team has a diverse background in international business and commercial law – from corporate matters, asset sales, acquisitions, and expansion – to litigation, dispute resolution, and mediation.  Our mission is to remove the exclusive control that law firms have over their client, which only benefits their firm.   We find the right professionals for our clients' needs without alliances to any specific firm. This prevents our clients from paying unnecessary legal fees, and they only get services they need.   What It Costs   The question on everyone’s mind.  Our job is to reduce legal spend, not increase it.  We charge a nominal fee to consult with your company and get up to speed. After that, we generally charge a one-time small transparent flat fee. No surprises or hidden costs.  And we usually pay for ourselves right away through immediate savings from outside counsel you would not receive without us.  We have never lost a client due to our cost – only gained them.",Professional Services,,1-10,,,,,,,,,,,
Arndt & Company,https://www.crunchbase.com/organization/arndt-company,"Accounting, Consulting, Financial Services","Springfield, Missouri, United States","Arndt & Company is an accounting firm that offers payroll, QuickBooks, accounting, tax, and business services to businesses and individuals.","3,200,225",Midwestern US,Active,2010-01-01,year,,,,,For Profit,https://arndtcpas.com,,"Financial Services, Professional Services",2,1-10,,,,,,,,,,,
Page Awards,https://www.crunchbase.com/organization/page-awards,"Content, Creative Agency, Printing","Los Angeles, California, United States","Page Awards is an event management company that conducts screenwriting contests for producers, agents, and development executives.","3,200,226","Greater Los Angeles Area, West Coast, Western US",Active,2003-01-01,year,,,,,For Profit,https://pageawards.com/,,"Content and Publishing, Media and Entertainment",,11-50,,,,,,,,,,,
Spirelike Interactive,https://www.crunchbase.com/organization/spirelike-interactive,"Advertising, Marketing, Web Design","Vancouver, Washington, United States",marketing professionals,"3,200,231","West Coast, Western US",Closed,,,,,,none,For Profit,http://www.spirelike.com,"They are a team of marketing professionals located in Portland/Vancouver area that have a shared passion for web, print & marketing strategy. They exist because there is always room for creative improvement. It is their goal to cater to individualized marketing needs.","Advertising, Design, Sales and Marketing",1,1-10,,,,,,,,,,,
Blackberry Lane,https://www.crunchbase.com/organization/blackberry-lane,,"Jamaica, Vermont, United States",Blackberry Lane,"3,200,234","New England, Northeastern US",Active,,,,,,,For Profit,,,,,,,,,,,,,,,,
The Powerhouse Group,https://www.crunchbase.com/organization/the-powerhouse-group,"Management Consulting, Media and Entertainment, Product Management","Naples, Florida, United States","The Powerhouse Group is a management company for entertainment, production, decor for a large corporate convention, a destination wedding.","3,200,238","East Coast, Southern US",Active,,,,,,,For Profit,https://www.thepowerhousegroup.com,,"Media and Entertainment, Other, Professional Services",,1-10,,,,,,,,,,,
Intercom.fm,https://www.crunchbase.com/organization/intercom-fm,"Advertising, Music","San Diego, California, United States",Intercom.fm :30 second radio shows you customize and listen to like a playlist. Multi-track and Sound editing features allow you to create,"3,200,238","Greater San Diego Area, West Coast, Western US",Closed,2010-10-01,day,,,,none,For Profit,http://intercom.fm,"Intercom.fm  :30 second radio shows you customize and listen to like a playlist.  Multi-track and Sound editing features allow you to create amazing content right from your phone.  Intercom.fm is a free audio and sound sharing application that allows users to record sounds, including their voice. Users can edit the sounds and mix multiple sounds together to add music beds and sound effects for more impact to conversations and share the audio on the service or a variety of other social networking services, including Facebook, Twitter and Tumblr. Users listen to different shows from inside the application as a playlist of topics (entertainment report, surf report, concert calendar, etc.) that they choose and control.  The best place to Create or Listen to Short radio shows with amazing sound effects & editing","Advertising, Media and Entertainment, Music and Audio, Sales and Marketing",,1-10,,,,,,,,,,,
Legendary,https://www.crunchbase.com/organization/legendary-6e6f,,"San Diego, California, United States",Legendary,"3,200,239","Greater San Diego Area, West Coast, Western US",Active,,,,,,,For Profit,,,,1,,,,,,,,,,,,
Boehme & Boehme,https://www.crunchbase.com/organization/boehme-boehme,"Accounting, Advice, Professional Services","Las Vegas, Nevada, United States","Boehme & Boehme offers tax management, assurance, trust planning, employee benefits, bookeeping, accounting, and advisory services.","3,200,246",Western US,Active,1996-01-01,year,,,,,For Profit,https://www.boehmecpa.com/,,"Financial Services, Media and Entertainment, Other, Professional Services",,,,,,,,,,,,,
Turner Insurance,https://www.crunchbase.com/organization/turner-insurance,"Auto Insurance, Dental, Insurance, Life Insurance","Lufkin, Texas, United States",Turner Insurance provides insurance services.,"3,200,252",Southern US,Active,,,,,,,For Profit,http://www.insurelufkin.com/,"Turner Insurance provides insurance products in Texas. They offer different types of insurance.  They should offer hassle-free and affordable auto insurance. Additionally, they offer motorcycle and RV insurance. Services include home and auto insurance, dental, vision, hearing, Medicare supplement, annuity, and living trusts.","Financial Services, Health Care",,,,,,,,,,,,,
Valuednetwork,https://www.crunchbase.com/organization/valuednetwork,"Advertising, Digital Marketing, Marketing","Wilmington, Delaware, United States",Valuednetwork.com is a leading provider of online marketing solutions through our performance-based affiliate network.,"3,200,258","Greater Philadelphia Area, East Coast, Southern US",Active,,,,,,,For Profit,http://valuednetwork.com/,"ValuedNetwork is a CPA Affiliate Network. They provide software, support and management services to help advertisers get clicks, leads, sales to their websites. In addition, They maintain an extensive affiliate network across all categories.  ValuedNetwork partner with other network and distribute CPA, CPL, CPS offers through Their publisher network.  People who have traffic can convert their traffic into revenue through Their network.","Advertising, Sales and Marketing",,,,,,,,,,,,,
Life Experience Degree Pros,https://www.crunchbase.com/organization/e-study-mania,,"Los Angeles, California, United States",Life Experience Degree Pros is an educational institution.,"3,200,263","Greater Los Angeles Area, West Coast, Western US",Active,2005-03-05,day,,,,,For Profit,http://www.lifeexperiencedegreepros.com,Life Experience Degree Pros is one of  legally approved name for online life experience degree programs.,,,,,,,,,,,,,,
Phobic Laboratories,https://www.crunchbase.com/organization/phobic-laboratories,"CMS, Media and Entertainment, Video Streaming","Tampa, Florida, United States",Video transcoding and distribution,"3,200,269","Tampa Bay Area, East Coast, Southern US",Active,,,,,,,For Profit,,,"Content and Publishing, Information Technology, Media and Entertainment, Software, Video",1,,,,,,,,,,,,
Deadwood Custom Cycles LLC,https://www.crunchbase.com/organization/deadwood-custom-cycles-llc,Automotive,"Deadwood, South Dakota, United States","Custom Motorcycle in Deadwood, SD","3,200,273",Midwestern US,Active,,,,,,,For Profit,http://deadwoodcustomcycles.com,"Address: 10 Lee St, Deadwood, SD 57732, USA",Transportation,,,,,,,,,,,,,
Invyte,https://www.crunchbase.com/organization/invyte,Event Management,"Germany, Georgia, United States","Invyte.de is a German event portal, with the registered members are planning any type of event and organize.","3,200,278","East Coast, Southern US",Active,2007-01-01,year,,,,,For Profit,http://invyte.de,,"Events, Media and Entertainment",,,,,,,,,,,,,
Hardwick Capital Management,https://www.crunchbase.com/organization/hardwicke-capital-management,"Consulting, Financial Services, Venture Capital","Shelbyville, Indiana, United States","Hardwick Capital Management offers funding, financial advice, portfolio management, retirement planning, and brokerage services.","3,200,282","Great Lakes, Midwestern US",Active,,,,,,,For Profit,https://hardwickinvestments.com,,"Financial Services, Lending and Investments, Professional Services",,1-10,,,,,,,,,,,
Hagen Consultants,https://www.crunchbase.com/organization/hagen-consultants,"Financial Services, Insurance, Payments","De Forest, Wisconsin, United States",Hagen Consultants are an insurance firm that offers both insurance and accounting services inculcating and rectifying claims and policies.,"3,200,283","Great Lakes, Midwestern US",Active,1990-01-01,year,,,,,For Profit,http://www.hagenconsultants.com/,,"Financial Services, Payments",,,,,,,,,,,,,
AxxNox,https://www.crunchbase.com/organization/axxnox,"Education, Fitness, Security","Freehold, New Jersey, United States","AxxNox Self Defense Sciences Magazine, Techniques, Skills, Tradecraft E-Learning","3,200,285","Greater New York Area, East Coast, Northeastern US",Active,2013-04-03,day,,,,,For Profit,https://www.axxnox.com/,"AxxNox self-defense www.AxxNox.com magazine focuses on self-defense industry, education, news coverage, article stories. AxxNox represents numerous thought leaders and subject matter experts from a wide range of backgrounds. Our goal is to provide evidence-based analysis that can help men and women avoid and respond to a real-life crisis. The online magazine creates, curates, and reviews various types of self-defense skills and tradecraft. Education, techniques, and tips are delivered in quick how-to guides and videos.","Education, Privacy and Security, Sports",,1-10,,,,,,,,,,,
